Data,Feature,Mean importance,Std importance
X3,Number of Cold Wave Days,0.0003239071126415527,0.0004030402221520637
X3,Region_Daegu,0.0002375695621048557,0.0013726727336686932
X3,Region_Ulsan,7.752424462161844e-05,0.0007509904240846982
X4,Month,0.7066190645958599,0.09217108866592034
X4,Avg Min Temperature (Celsius),0.3979120945522601,0.05841303460776919
X4,Year,0.12864266523000303,0.030536551532180364
X4,Avg Dew Point Temp (Celsius),0.061477177642589774,0.022029723409315968
X4,Avg Min Supercool Temp (Celsius),0.023520947941407522,0.009619398278243757
X4,Region_Daejeon,0.01818040854413474,0.008007475442722789
X4,Avg Vapor Pressure (hPa),0.017129514699150427,0.00897598023668575
X4,Number of Tropical Nights,0.015372960417475667,0.006769863997318953
X4,Avg Local Pressure (hPa),0.010937908160403432,0.008624861841032928
X4,Avg Cloud Cover (1/10),0.006387964370007071,0.0054397252590429445
X4,Region_Daegu,0.00045351884018411947,0.0006360289206493966
X4,Region_Seoul,7.917132693832096e-05,0.0009583057202876493
X4,Region_Busan,-4.359241595186525e-06,0.0006595596630507822
X4,Region_Incheon,-0.0006439397429007343,0.0036796426586812917
X4,Avg Ground Temp (Celsius),-0.0007171662152713698,0.0034481462796635194
X4,Region_Gwangju,-0.0008124869119270461,0.001278868245937451
X4,Region_Ulsan,-0.0014054988811660451,0.00047667109049703
